"Region","Year","meanTemp"
"PT15","1961",16.9667556120555
"PT16","1961",15.7865579486757
"PT17","1961",17.1478068392876
"PT18","1961",16.905378012395
"PT20","1961",0
"PT30","1961",0
"RO11","1961",9.40098177827134
"RO12","1961",7.8788110397692
"RO21","1961",8.97694563497609
"RO22","1961",11.0216004793598
"RO31","1961",11.2585924128617
"RO32","1961",11.3901475735461
"RO41","1961",11.1291666551142
"RO42","1961",10.7181988879081
"SE11","1961",6.90193084772767
"SE12","1961",6.89945312961354
"SE21","1961",7.41015712876504
"SE22","1961",8.27225414660698
"SE23","1961",7.44161939705008
"SE31","1961",5.43954182256404
"SE32","1961",3.57830329249437
"SE33","1961",2.57937159134289
"SI03","1961",9.54945723528559
"SI04","1961",9.06906559495475
"SK01","1961",10.302183332792
"SK02","1961",10.0538226435935
